id,title,lyrics
17,Mary Had a Little Lamb,"Mary had a little lamb
Little lamb, little lamb
Mary had a little lamb
Its fleece was white as snow
Everywhere that Mary went
Mary went, Mary went
Everywhere that Mary went
The lamb was sure to go
He followed her to school one day
School one day, school one day
He followed her to school one day
Which was against the rules
It made the children laugh and play
Laugh and play, laugh and play
It made the children laugh and play
To see the lamb at school
And so the teacher turned him out
Turned it out, turned it out
And so the teacher turned it out
But still it lingered near
Why does the lamb love Mary so?
Love Mary so, love Mary so?
Why does the lamb love Mary so?
The eager children cried
Why Mary loves the lamb you know
The lamb you know, the lamb you know
Why Mary loves the lamb you know
The teacher did reply
Mary had a little lamb
Little lamb, little lamb
Mary had a little lamb
Its fleece was white as snow
Everywhere that Mary went
Mary went, Mary went
Everywhere that Mary went
The lamb was sure to go
Mary had a little lamb
Little lamb, little lamb
Mary had a little lamb
Its fleece was white as snow"
18,Humpty Dumpty,"Humpty Dumpty sat on a wall
Humpty Dumpty had a great fall
All the king's horses and all the king's men
Couldn't put Humpty together again
Humpty Dumpty sat on a wall
Humpty Dumpty had a great fall
All the king's horses and all the king's men
Couldn't put Humpty together again
Humpty Dumpty sat on a wall
Humpty Dumpty had a great fall
All the king's horses and all the king's men
Couldn't put Humpty together again
Humpty Dumpty sat on a wall
Humpty Dumpty had a great fall
All the king's horses and all the king's men
Couldn't put Humpty together again"
19,Miss Polly Had a Dolly,"Miss Polly had a dolly who was sick, sick, sick.
So she called for the doc-tor to be quick, quick, quick.
The doctor ca-me with his bag and his hat.
And he kno-cked on the do-or with a rat-a-tat-tat.

He looked at the dolly and he shook his head.
He said ""Miss Pol-ly, put him straight to bed"".
If you want to make him feel his best, best, best.
This dolly needs to go- get some rest, rest, rest.

Miss Polly had a dolly who was sick, sick, sick.
So she called for the doctor to be quick, quick, quick.
The doc-tor ca-me with his bag and his hat.
And he knoc-ked on the door with a rat-a-tat-tat.

He looked at the dolly and he shook his head
He said ""Miss Pol-ly, put him straight to bed""
If you want to make him feel his best, best, best
This dolly needs to go- get some rest, rest, rest.

Miss Polly had a dolly who was sick, sick, sick.
So she called for the doctor to be quick, quick, quick.
The doctor came with his bag and his hat.
And he knocked on the door with a rat-a-tat-tat.

He looked at the dolly and he shook his head.
He said ""Miss Polly, put him straight to bed"".
The dolly went to bed, and he slept all night,
And wo-ke in the morning, feeling quite alright!"
20,"Twinkle, Twinkle, Little Star","Twinkle twinkle little star
How I wonder what you are
Up above the world so high
Like a diamond in the sky
Twinkle twinkle little star
How I wonder what you are
Twinkle twinkle little star
How I wonder what you are
Up above the world so high
Like a diamond in the sky
Twinkle twinkle little star
How I wonder what you are
Twinkle twinkle little star
How I wonder what you are
Up above the world so high
Like a diamond in the sky
Twinkle twinkle little star
How I wonder what you are
Twinkle twinkle little star
How I wonder what you are
Up above the world so high
Like a diamond in the sky
Twinkle twinkle little star
How I wonder what you are"
21,500 Ducks,"500 ducks went out one day.
Over the hill and far away.
The mother ducks said, ""Quack, quack, quack, quack.""
But only 400 ducks came back.

100, 200, 300, 400. 

400 ducks went out one day.
Over the hill and far away.
Mother duck said, ""Quack, quack, quack, quack.""
But only 300 ducks came back.

100, 200, 300.

300 ducks went out one day.
Over the hill and far away.
The mother ducks said, ""Quack, quack, quack, quack.""
But only 200 ducks came back.

100, 200.

200 ducks went out one day.
Over the hill and far away.
The mother ducks said, ""Quack, quack, quack, quack.""
But only 100 ducks came back.

100.

100 ducks went out one day.
Over the hill and far away.
The mother ducks said, ""Quack, quack, quack, quack.""
But only one little duck came back.

One little duck went out one day.
Over the hill and far away.
The mother ducks said, ""Quack, quack, quack, quack.""
And all of the 500 ducks came back.

500 ducks went out one day.
Over the hill and far away.
The mother ducks said, ""Quack, quack, quack, quack.""
And all of the 500 ducks said, ¡§Quack!¡¨"
22,If You¡¦re Happy And You Know It Spin Around,"If you¡¦re happy and you know it, Caleigh
clap your hands.
If you¡¦re happy and you know it,
clap your hands.
If you¡¦re happy and you know it,
and you really want to show it.
If you¡¦re happy and you know it,
clap your hands.
VERSE 2
If you¡¦re hungry and you know it, Alice
pat your belly.
If you¡¦re hungry and you know it,
pat your belly.
If you¡¦re hungry and you know it, Alice Caleigh
and you really want to show it.
If you¡¦re hungry and you know it, Alice
pat your belly.
VERSE 3
If you¡¦re tired and you know it, Robert
stretch and yawn.
If you¡¦re tired and you know it,
stretch and yawn.
If you¡¦re tired and you know it, Robert Caleigh
and you really want to show it.
If you¡¦re tired and you know it, Robert
stretch and yawn.
VERSE 4
If you¡¦re angry and you know it, Josie
take a breath.
If you¡¦re angry and you know it,
take a breath.
If you¡¦re angry and you know it, Josie Caleigh
and you really want to show it.
If you¡¦re angry and you know it, Josie
take a breath.
VERSE 5
If you¡¦re surprised and you know it, Toni
jump right up.
If you¡¦re surprised and you know it,
jump right up.
If you¡¦re surprised and you know it, Toni Caleigh
and you really want to show it.
If you¡¦re surprised and you know it, Toni
jump right up.
VERSE 6
If you¡¦re sad and you know it, Caleigh Josie
rub your eyes.
If you¡¦re sad and you know it,
rub your eyes.
If you¡¦re sad and you know it, Alice
and you really want to show it. Josie
If you¡¦re sad and you know it, Caleigh Josie Alice
rub your eyes.
VERSE 7
If you¡¦re silly and you know it, Toni Robert
show it off!
If you¡¦re silly and you know it,
show it off.
If you¡¦re silly and you know it, Robert
and you really want to show it. Toni
If you¡¦re silly and you know it, Toni Robert
show it off.
If you¡¦re happy and you know it, Everyone
shout hooray.
: Hooray!
If you¡¦re happy and you know it,
shout hooray.
: Hooray!
If you¡¦re happy and you know it,
and you really want to show it.
If you¡¦re happy and you know it,
shout hooray.
: Hooray!"
23,There¡¦s A Monster In My Tummy,"There¡¦s a monster in my tummy
and it grumbles when it¡¦s hungry.
Grumble grumble.
Grumble grumble.
There¡¦s a monster in my tummy
and it grumbles when it¡¦s hungry.
Grumble grumble.
Grumble grumble.

Grumble grumble grumble grumble... 
Grumble grumble grumble grumble...
Grumble grumble grumble grumble... 
Grumble grumble grumble grumble...   

Do you hear that!? We better feed it¡K.
Carrots!

Crunch crunch.
Yum yum.
Crunch crunch.
Yum yum.
That¡¦s better!

There¡¦s a monster in my tummy
and it grumbles when it¡¦s hungry.
Grumble grumble.
Grumble grumble.
There¡¦s a monster in my tummy
and it grumbles when it¡¦s hungry.
Grumble grumble.
Grumble grumble.

Grumble grumble grumble grumble... 
Grumble grumble grumble grumble...
Grumble grumble grumble grumble... 
Grumble grumble grumble grumble... 

Do you hear that!? We better feed it¡K.
Bananas!

Munch munch.
Yum yum.
Munch munch.
Yum yum.
That¡¦s better!

There¡¦s a monster in my tummy
and it grumbles when it¡¦s hungry.
Grumble grumble.
Grumble grumble.
There¡¦s a monster in my tummy
and it grumbles when it¡¦s hungry.
Grumble grumble.
Grumble grumble.

Grumble grumble grumble grumble... 
Grumble grumble grumble grumble...
Grumble grumble grumble grumble... 
Grumble grumble grumble grumble... 

Do you hear that!? We better feed it¡K.
Soup!

Slurp slurp.
Yum yum.
Slurp slurp.
Yum yum.
That¡¦s better!

There¡¦s a monster in my tummy
and it grumbles when it¡¦s hungry.
Grumble grumble.
Grumble grumble.
There¡¦s a monster in my tummy
and it grumbles when it¡¦s hungry.
Grumble grumble.
Grumble grumble.

Grumble grumble grumble grumble... 
Grumble grumble grumble grumble...
Grumble grumble grumble grumble... 
Grumble grumble grumble grumble... 

Do you hear that!? We better feed it¡K.
Orange juice!

Sip sip.
Yum yum.
Sip sip.
Yum yum.
That¡¦s better!

There¡¦s a monster in my tummy.
When it's fed it¡¦s very happy.
Happy happy.
Happy happy.
There¡¦s a monster in my tummy.
When it's fed it¡¦s very happy.
Happy happy.

Happy happy happy happy... 
Happy happy happy happy...
Happy happy happy happy... 
Happy happy happy happy¡K

Yum yum!"
24,Peanut Butter & Jelly (Super Simple Puppets),"Peanut, peanut butter.
And jelly.
Peanut, peanut butter.
And jelly.

First you take the peanuts and you crack ¡¥em, you crack ¡¥em,
you crack ¡¥em, crack ¡¥em, crack ¡¥em. 
Peanut, peanut butter.
And jelly.
Peanut, peanut butter.
And jelly.

Then you take the peanuts and you mash ¡¥em, you mash ¡¥em,
you mash ¡¥em, mash ¡¥em, mash ¡¥em.
Peanut, peanut butter.
And jelly.
Peanut, peanut butter.
And jelly.

Then you take the bread and you spread it, you spread it,
you spread it, spread it, spread it.
Peanut, peanut butter.
And jelly.
Peanut, peanut butter.
And jelly.

Next you take the grapes and you pick ¡¥em, you pick ¡¥em,
you pick ¡¥em, pick ¡¥em, pick ¡¥em.
Peanut, peanut butter.
And jelly.
Peanut, peanut butter.
And jelly.

Then you take the grapes and you squish ¡¥em, you squish ¡¥em,
you squish ¡¥em, squish ¡¥em, squish ¡¥em.
Peanut, peanut butter.
And jelly.
Peanut, peanut butter.
And jelly.

Then you take the bread and you spread it, you spread it,
you spread it, spread it, spread it.
Peanut, peanut butter.
And jelly.
Peanut, peanut butter.
And jelly.
Now you take the sandwich and you eat it, you eat it, you eat it, eat it, eat it.

MMMM, MMM MMMMM. MMM. MMMM.
MMMM, MMM MMMMM. MMM. MMMM."
25,Crawl Like A Caterpillar,"I see a caterpillar, crawling, crawling.
I see a caterpillar crawling all around.
Can you crawl like a caterpillar?
Crawl along with me.
Let¡¦s crawl like a caterpillar
on the count of three.

One, two, three!

I see a grasshopper, hopping, hopping.
I see a grasshopper hopping all around.
Can you hop like a grasshopper?
Hop along with me.
Let¡¦s hop like a grasshopper
on the count of three.

One, two, three!

I see a butterfly, flying, flying.
I see a butterfly flying all around.
Can you fly like a butterfly?
Fly along with me.
Let¡¦s fly like a butterfly
on the count of three.

One, two, three!

I see a worm, wiggling, wiggling.
I see a worm wiggling all around.
Can you wiggle like a worm?
Wiggle along with me.
Let¡¦s wiggle like a worm
on the count of three.

One, two, three!

I see a firefly, sparkling, sparkling.
I see a firefly sparkling all around.
Can you sparkle like a firefly?
Sparkle along with me.
Let¡¦s sparkle like a firefly
on the count of three.

One, two, three!

I see a bee, buzzing, buzzing.
I see a bee buzzing all around.
Can you buzz like a bee?
Buzz along with me.
Let¡¦s buzz like a bee
on the count of three.

One, two, three!"
26,I See Something Pink (Finny the Shark),"Pink! 
I see something pink.
Pink!
I see something pink.
Pink, pink, pink, pink...
I see something pink.
Find something pink!

Orange! 
I see something orange.
Orange!
I see something orange.
Orange, orange...
I see something orange.
Find something orange!

Brown! 
I see something brown. 
Brown!
I see something brown.
Brown, brown, brown, brown...
I see something brown.
Find something brown! 

Green!
I see something green.
Green!
I see something green.
Green, green, green, green...
I see something green.
Find something green!

Pink. 
Orange. 
Brown. 
Green. 
I see colors everywhere. "
27,Picked A Strawberry,"Picked a strawberry.
Picked a strawberry.
That was growing in the sun.
Then I washed it and I ate it.
And I picked another one.

Let¡¦s pick two strawberries.
One. Two.
Wash them up.
Now let¡¦s eat them.
Yum, yum.
Now let¡¦s pick some blueberries.

Picked a blueberry.
Picked a blueberry.
That was growing in the sun.
Then I washed it and I ate it.
And I picked another one.

Let¡¦s pick five blueberries.
One. Two. Three. Four. Five.
Wash them up.
Now let¡¦s eat them.
Yum, yum, yum, yum, yum.
Now let¡¦s pick some blackberries.

Picked a blackberry.
Picked a blackberry.
That was growing in the sun.
Then I washed it and I ate it.
And I picked another one.

Let¡¦s pick seven blackberries.
One. Two. Three. Four. Five. Six. Seven.
Wash them up.
Now let¡¦s eat them.
Yum, yum, yum, yum, yum, yum, yum.
Now let¡¦s pick some raspberries.

Picked a raspberry.
Picked a raspberry.
That was growing in the sun.
Then I washed it and I ate it.
And I picked another one.

Let¡¦s pick ten raspberries.
One. Two. Three. Four. Five. Six. Seven. Eight. Nine. Ten.
Wash them up.
Now let¡¦s eat them.
Yum, yum, yum, yum, yum, yum, yum, yum, yum, yum.
That was delicious!

Picked some berries.
Picked some berries.
That were growing in the sun.
Then I washed them and I ate them.
Picking berries was so fun.
Picking berries was so fun."
28,Monster Party,"It¡¦s time to party.
We¡¦re having a monster party.
It¡¦s time to party.
Having a monster party.
It¡¦s time to party.
We¡¦re having a monster party.
It¡¦s time to party.
Having a monster party.

Dance dance dance dance.
Shake from side to side.
Dance dance dance dance.
Shake from side to side.
Dance dance dance dance.
Shake from side to side.
Dance dance dance dance.
Shake from side to side.

It¡¦s time to party.
We¡¦re having a monster party.
It¡¦s time to party.
Having a monster party.
It¡¦s time to party.
We¡¦re having a monster party.
It¡¦s time to party.
Having a monster party.

Jump jump jump jump.
Wiggle ¡¥round and ¡¥round.
Jump jump jump jump.
Wiggle ¡¥round and ¡¥round.
Jump jump jump jump.
Wiggle ¡¥round and ¡¥round.
Jump jump jump jump.
Wiggle ¡¥round and ¡¥round.

Get your creepy crawlies out
and creep creep creep.

It¡¦s time to party.
We¡¦re having a monster party.
It¡¦s time to party.
Having a monster party.
It¡¦s time to party.
We¡¦re having a monster party.
It¡¦s time to party.
Having a monster party.
It¡¦s time to party.
We¡¦re having a monster party.
It¡¦s time to party.
Having a monster party.
It¡¦s time to party.
We¡¦re having a monster party.
It¡¦s time to party.
Having a monster party."
29,"Here You Are, Thank You","I¡¦m thankful for my family
I¡¦m thankful for my friends
I¡¦m thankful for the things I have,
The Thank You¡¦s never end

What are you thankful for?
What are you thankful for?
What are you thankful for? 
Hmmmm¡K"
30,ABC Quack!,"A, B, C, D, E, F, G,
H, I, J, K, L, M, N, O, P,
Q, R, [QUACK],
T, U, V,
W, [QUACK],
Y, and Z.

Great quacking! Let¡¦s try again!

A, B, C, D, E, F, [QUACK],
H, I, J, K, L, M, N, O, [QUACK],
Q, R, S,
T, U, [QUACK],
W, X,
[QUACK], and Z"
31,Happy Birthday,"Happy Birthday to you
Happy Birthday to you
Happy Birthday, Happy Birthday
Happy Birthday to you"
32,First We Wash Our Hands,"VERSE 1
Everybody playing, out in the sun
It¡¦s a bright happy day so we¡¦re gonna have some fun But when we play, sometimes it¡¦s a mess
So let's head to the sink and wash our hands, oh yes!

CHORUS
Wash my hands Wash my hands Wash my hands Wash my hands
CHORUS
Wash my hands Wash my hands Wash my hands Wash my hands

VERSE 2
do do do do do do do do do do do do do do do do do do
do do do do do do do do do do do do do do do do do do
Everybody eating, out in the sun
It¡¦s a bright happy day so we¡¦re gonna have some fun But when we eat, sometimes it¡¦s a mess
So let's head over there and wipe our hands, oh yes!

CHORUS
Wipe my hands Wipe my hands Wipe my hands Wipe my hands

CHORUS
Wipe my hands Wipe my hands Wipe my hands Wipe my hands
do do do do do do do do do do do do do do do do do do
do do do do do do do do do do do do do do do do do do

VERSE 3
Everybody painting, out in the sun
It¡¦s a bright happy day so we¡¦re gonna have some fun But when we paint, sometimes it¡¦s a mess
So let's head to the sink and wash our hands, oh yes!

CHORUS
Wash my hands Wash my hands Wash my hands Wash my hands

CHORUS
Wash my hands Wash my hands Wash my hands Wash my hands
do do do do do do do do do do do do do do do do do do
do do do do do do do do do do do do do do do do do do"
33,Beddy-Bye Butterfly,"High above the forest
in the night sky.
The stars are shining brightly,
time for Beddy-Bye.
Star flew down to owl,
who hooted and said,
¡§let¡¦s say good night to all our friends
and put them all to bed.¡¨

Beddy-bye, butterfly
tuck into your flower.
Dream butterfly dreams
¡¥till the morning hour.

Beddy-bye, baby bear
lay down in your den,
until the sun rises
and it¡¦s morning again.

Beddy-bye, bunny rabbit
close your eyes and dream
of all the games tomorrow
we will play by the stream.

Beddy-bye, little squirrel
curl up in your nest.
You gathered acorns all day long
and now it¡¦s time to rest.

Beddy-bye, slith¡¦ry snake
curl up nice and tight.
We¡¦ll meet again tomorrow
in the early morning light.

Beddy-bye, tiny turtle
rest inside your shell.
Slowly you will fall asleep.
We hope that you sleep well.

Beddy-bye, friendly frog.
Let¡¦s not make a sound.
In the morning you will ribbit
and hop all around.

Beddy-bye, little bird.
Though the night seems long,
soon it will be morning
and we¡¦ll wake to your song.

Now we¡¦ve said goodnight.
to our friends near and far.
Beddy-bye to you, Owl.
Beddy-bye to you, Star."
